"key", "en", "de", "fr", "es", "swe", "tr", "pl", "it", 
life_after,life after,Leben danach,la vie après,la vida después,Livet efter,SONRA HAYAT,życie po,la vita dopo
"points_seconds_moves", "Points are seconds or moves", "Punkte sind Sekunden oder Züge", "Les points sont des secondes ou des mouvements", "Los puntos son segundos o movimientos", "Poäng är sekunder eller rörelser", "Puanlar saniyeler veya hamlelerdir", "Punkty to sekundy lub ruchy", "I punti sono secondi o movimenti",
"no_empty", "No empty Move", "Kein leerer Zug", "Pas de vide", "No vacío", "Ingen tom", "Boş yok", "Brak pustki", "Nessun vuoto",
"unlock_all_levels", "Unlock all levels", "Alle Level freischalten", "Débloquer tous les niveaux", "Desbloquea todos los niveles", "Lås upp alla nivåer", "Tüm seviyelerin kilidini aç", "Odblokuj wszystkie poziomy", "Sbloccare tutti i livelli",
"keep_admin_access", "Keep admin access enabled", "Admin-Zugang aktiviert lassen", "Maintenir l'accès admin activé", "Mantener habilitado el acceso de administrador", "Håll administratörsåtkomst aktiverad", "Yönetici erişimini etkin tutun", "Zachowaj dostęp administratora", "Mantenere l'accesso dell'amministratore",
"deactivate_admin_access", "Deactivate admin access now", "Admin-Zugang jetzt deaktivieren", "Désactiver l'accès admin maintenant", "Desactivar el acceso de administrador ahora", "Inaktivera administratörsåtkomst nu", "Yönetici erişimini şimdi devre dışı bırakın", "Dezaktywuj dostęp administratora teraz", "Disattivare ora l'accesso dell'amministratore",
"level_name", "Level name", "Level Name", "Nom du niveau", "Nombre del nivel", "Namn på nivå", "Seviye adı", "Nazwa poziomu", "Nome del livello",
"description_text", "Description Text", "Beschreibungs-Text", "Texte de description", "Descripción Texto", "Beskrivning Text", "Açıklama Metni", "Opis Tekst", "Descrizione Testo",
"default_mode_text", "Default mode text", "Standard modus text", "Texte en mode standard", "Texto en modo normal", "Standardläge text", "Standart mod metni", "Tekst normalnego", "Testo modalità standard",
"game_mode_text", "Game mode text", "Spielmodus-Text", "Texte mode de jeu", "Texto del modo de juego", "Text för spelläge", "Oyun modu metni", "Tekst trybu gry", "Testo modalità di gioco",
"enabled", "Enabled ", "Aktivieren", "Activé", "Habilitado", "Aktiverad", "Etkin", "Włączony", "Abilitato",
"dark_green", "Dark Green", "Dunkelgrün", "Vert foncé", "Verde oscuro", "Mörkgrön", "Koyu yeşil", "Ciemna zieleń", "Verde scuro",
"light_green", "Light Green", "Hellgrün", "Vert clair", "Verde claro", "Ljusgrön", "Açık yeşil", "Jasnozielony", "Verde chiaro",
"dark_red", "Dark Red", "Dunkelrot", "Rouge foncé", "Rojo oscuro", "Mörkröd", "Koyu kırmızı", "Ciemnoczerwony", "Rosso scuro",
"light_red", "Light red", "Hellrot","Rouge clair", "Rojo claro", "Ljusröd", "Açık kırmızı", "Jasnoczerwony", "Rosso chiaro",
"yellow", "Yellow", "Gelb", "Jaune", "Amarillo", "Gul", "Sarı", "Żółty", "Giallo",
"orange", "Orange", "Orange", "Orange", "Naranja", "Orange", "Turuncu", "Orange", "Arancio",
"purple", "Purple", "lila", "Pourpre", "Morado", "Lila", "Mor", "Purpura", "Viola",
"blue", "Blue", "Blau", "Bleu", "Azul", "blå", "Mavi", "Niebieski", "Blu",
"start", "Start", "Start", "Début", "Inicio", "Starta", "Başla", "Start", "Inizio",
"end", "End", "Ende", "Fin", "Fin", "Slut", "Bitiş", "Koniec", "Fine",
"cross", "Cross", "Kreuz", "Croix", "Cruz", "Cross", "Çapraz", "Cross", "Croce",
"x", "X", "X", "X", "X", "X", "X", "X", "X",
"block", "Block", "Block", "Bloc", "Bloque", "Blocka", "Blok", "Blok", "Blocco",
"diagonal", "Diagonal", "Diagonal", "Diagonale", "Diagonal", "Diagonalt", "Diyagonal", "Przekątna", "Diagonale",
"rain", "Rain", "Regen", "Pluie", "Lluvia", "Regn", "Yağmur", "Deszcz", "Pioggia",
"last_messages", "Last messages", "Letzte Nachrichten", "Messages récents", "Últimos mensajes", "Senaste meddelanden", "Son mesajlar", "Ostatnie wiadomości", "Ultimi messaggi",
"no_messages", "No messages received yet.", "Bisher keine Nachrichten erhalten.", "Aucun message reçu pour le moment.", "Aún no se han recibido mensajes.", "Inga meddelanden har ännu mottagits.", "Henüz mesaj alınmadı.", "Nie otrzymano jeszcze żadnych wiadomości.", "Non sono ancora stati ricevuti messaggi.",
"english_language", "English", "Englisch", "Anglais", "IÍnglés", "Engelska", "İngilizce", "Angielski", "Inglese",
"german_language", "German", "Deutsch", "Allemand", "Alemán", "Tyska", "Almanca", "Niemiecki", "Tedesco",
"french_language", "French", "Französisch", "Français", "Francés", "Franska", "Fransızca", "Francuski", "Francese",
"spanish_language", "Spanish", "Spanisch", "Espagnol", "Español", "Spanska", "İspanyolca", "Hiszpański", "Spagnolo",
"swedish_language", "Swedish", "Schwedisch", "Suédois", "Sueco", "Svenska", "İsveç", "Szwedzki", "Svedese",
"turkish_language", "Turkish", "Türkisch", "Turc", "Turco", "Turkiska", "Türkçe", "Turecki", "Turco",
"polish_language", "Polish", "Polnisch", "Polonais", "Polaco", "Polska", "Lehçe", "Polska", "Polacco",
"italian_language", "Italian", "Italienisch", "Italien", "Italiano", "Italienska", "İtalyan", "Włoski", "Italiano",
"malicious_extras", "Malicious extras", "Tückische Extras", "Suppléments malveillants", "Extras malintencionados", "Skadliga extrafunktioner", "Kötü niyetli ekstralar", "Złośliwe dodatki", "Extra dannosi",
"malicious_extras_time", "Malicious extras over time", "Tückische Extras im Spielverlauf", "Les extras malveillants au fil du temps", "Extras malintencionados a lo largo del tiempo", "Skadliga extrafunktioner över tid", "Zaman içinde kötü niyetli ekstralar", "Złośliwe dodatki w czasie", "Extra malevoli nel tempo",
"beneficial_extras", "Beneficial extras", "Nützliche Extras", "Extras bénéfiques", "Extras benéficos", "Venetiösa extrafunktioner", "Veneficial ekstralar", "Korzystne dodatki", "Extra venefici",
"beneficial_extras_time", "Beneficial extras over time", "Nützliche Extras im Spielverlauf", "Suppléments bénéfiques au fil du temps", "Extras beneficiosos a lo largo del tiempo", "Förmånliga extrafunktioner över tid", "Zaman içinde faydalı ekstralar", "Korzystne dodatki z czasem", "Extra benefici nel tempo",
"needed_pieces", "Needed pieces", "Benötigte Elemente", "Pièces nécessaires", "Piezas necesarias", "Behövliga delar", "Gerekli parçalar", "Potrzebne kawałki", "Pezzi necessari",
"needed_pieces_time", "Needed pieces over time", "Benötigte Elemente im Spielverlauf", "Pièces nécessaires au fil du temps", "Piezas necesarias a lo largo del tiempo", "Behövda delar över tid", "Zaman içinde ihtiyaç duyulan parçalar", "Potrzebne kawałki w czasie", "Pezzi necessari nel tempo",
"zoom_out", "Zoom out", "Rauszoomen", "Zoom arrière", "Alejar", "Zooma ut", "Uzaklaştır", "Pomniejszenie", "Riduzione dello zoom",
"left_padding", "Left padding", "Linkes Padding", "Rembourrage gauche", "Relleno izquierdo", "Vänster fyllning", "Sol dolgu", "Lewy padding", "Imbottitura a sinistra",
"right_padding", "Right padding", "Rechtes Padding", "Rembourrage à droite", "Relleno derecho", "Höger utfyllnad", "Sağ dolgu", "Prawy padding", "Imbottitura destra",
"top_padding", "Top padding", "Oberes Padding", "Rembourrage supérieur", "Relleno superior", "Övre stoppning", "Üst dolgu", "Wypełnienie padding", "Imbottitura superiore",
"bottom_padding","Bottom padding", "Unteres Padding",Rembourrage inférieur, "Relleno inferior", "Nedre stoppning", "Alt dolgu", "Dolny padding", "Imbottitura inferiore",
"board_width","Board width","Breite des Spielfelds","Largeur du terrain de jeu","Anchura del terreno de juego","Spelplanens planen","Alan genişliği","Szerokość boiska","Larghezza del campo da gioco"
"board_height","Board height","Höhe des Spielfelds","Hauteur du terrain de jeu","Altura del terreno de juego","Spelplanens höjd","Saha yüksekliği","Wysokość pola gry","Altezza del campo da gioco"
"border_graphic","Border graphic","Umrandungsgraphik","Graphique d'encadrement","Gráfico de bordes","Grafisk gräns","Sınır grafiği","Grafika graniczna","Grafica del bordo"
"gametype_p1","Gametype P1","Spieltyp P1","Type de jeu P1","Tipo de juego P1","Spel typ P1","Oyun türü P1","Typ gry P1","Tipo di gioco P1"
"gametype_p2","Gametype P2","Spieltyp P2","Type de jeu P2","Tipo de juego P2","Spel typ P2","Oyun türü P2","Typ gry P2","Tipo di gioco P2"
"Time","Time", "Zeit", "Temps", "Tiempo", "Tid", "Zaman","Czas", "Tempo",
"Moves", "Moves", "Züge", "Mouvements", "Mueve", "Flyttar", "Hareketler", "Ruchy", "Movimenti",
"Nothing","Nothing","Nichts","Rien","Nada","Ingenting","Hiçbir şey","Nic","Nulla"
"EmptyMoves","Empty Moves","Leerzüge","Mouvements vides","Movimientos vacíos","Tomma flyttningar","Boş hamleler","Puste ruchy","Movimenti a vuoto"
NoEmptyMoves,"No Empty Moves","Keine Leerzüge",Pas de mouvements vides,"Sin movimientos vacíos","Ingen tomma flyttningar","Boş hamle yok","Brak pustych ruchów","Nessun movimento a vuoto"
Blank,Blank,Leer,En blanc,En blanco,Blank,Boş,Blank,Vuoto
Breakable,Breakable,Zerstörbar,Cassable,Rompible,Brytbar,Kırılabilir,Złamany,Infrangibile
Lock,Lock,Sperre,Verrouillé,Cerradura,Lås,Kilitle,Blokada,Blocco
Bubble,Bubble,Blase,Bulle,Burbuja,Bubbla,Baloncuk,Bańka,Bolla
Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normalne,Normale
animation_info,The Animationssettings might be overriden by the level itself.,Die Animationseinstellungen könnten durch das Level selbst überschrieben werden.,Les paramètres d'animation peuvent être remplacés par le niveau lui-même.,La configuración de las animaciones puede ser anulada por el propio nivel.,Animationssettings kan åsidosättas av själva nivån.,Animasyon ayarları seviyenin kendisi tarafından geçersiz kılınabilir,Ustawienia animacji mogą zostać zastąpione przez sam poziom.,Le impostazioni delle animazioni possono essere sovrascritte dal livello stesso.
T_Pattern,T-Pattern,T-Muster,Motif-T,Patrón-T,T-mönster,T-Desen,T-Wzór ,Modello-T
L_Pattern,L-Pattern,L-Muster,Motif-L,Patrón-L,L-mönster,L-Desen,L-Wzór,Modello-L
Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horisontell,Yatay,Poziomo,Orizzontale
Vertical,Vertical,Vertikal,Vertical,Vertical,Vertikal,Dikey,Pionowo,Verticale
Diagonal,Diagonal,Diagonal,Diagonale,Diagonal,Diagonal,Diyagonal,Ukośnie,Diagonale
X_Pattern,X-Pattern,X-Muster,X-Pattern,Patrón-X,X-mönster,X-Pattern,Wzór-X,Modello-X
match_cross,Cross,Kreuz,Croix,Cruz,Cross,Çapraz,Cross,Croce
pattern_1,Pattern 1,Muster 1,Patronage 1,Patrón 1,Mönster 1,Desen 1,Wzór 1,Modello 1
pattern_2,Pattern 2,Muster 2,Patronage 2,Patrón 2,Mönster 2,Desen 2,Wzór 2,Modello 2
Both,Both,Beide,Les deux,Ambos,Båda,Her ikisi de,Obie,Entrambi
LeftUp,LeftUp,LinksHoch,GaucheHaut,IzquierdaArriba,Vänsterupp,Sol yukarı,W lewo w górę,Sinistra su
RightUp,RightUp,RechtsHoch,DroiteHaut,DerechaArriba,Högerupp,Hemen yukarı,Prawa w górę,Destra in alto
Block,Block,Block,Blocage,Bloqueo,Blockering,Engelleme,Blokowanie,Blocco
Corners,Corners,Ecken,Coins,Esquinas,Hörn,Köşe,Narożnik,Angolo
Cross,Cross,Kreuz,Croix,Cruz,Cross,Çapraz,Krzyż,Croce
rules_setting,Rules,Regeln,Règles,Reglas,Regler,Kurallar,Zasady,Regole
sides_setting,Sides,Seiten,Côtés,Lados,Sidor,Taraflar,Boki,Fianchi
config_setting,Config,Konfig,Config,Configuración,Konfiguration,Konfigürasyon,Konfiguracja,Configurazione
design_setting,Design,Gestaltung,Design,Diseño,Utformning,Tasarım,Projekt,Design
left_bar,Left bar,Linke Leiste,Barre gauche,Barra izquierda,Vänster bar,Sol çubuk,Lewa belka,Barra sinistra
right_bar,Right bar,Rechte Leiste,Barre droite,Barra derecha,Höger bar,Sağ çubuk,Prawy pasek,Barra destra
top_bar,Top bar,Obere Leiste,Barre supérieure,Barra superior,Översta raden,Üst çubuk,Górny pasek,Barra superiore
bottom_bar,Bototm bar,Untere Leiste,Barre inférieure,Barra inferior,Nedre stapel,Alt çubuk,Dolny pasek,Barra inferiore
phase_one,First Phase,Phase Eins,Première phase,Primera fase,Första fasen,Birinci aşama,Faza pierwsza,Prima fase
phase_two,Second Phase,Phase Zwei,Deuxième phase,Segunda fase,Andra fasen,İkinci aşama,Faza druga,Seconda fase
AlleFarben, All Colors, Alle Farben,Toutes les couleurs, Todos los colores,Alla färger,Tüm renkler,Wszystkie kolory,Tutti i colori
DunkelGrün,Dark Green, Dunkelgrün,Vert foncé, Verde oscuro,Mörkgrön,Koyu yeşil,Ciemna zieleń,Verde scuro
HellGrüne,Light Green,Hellgrün,Vert clair, Verde claro,Ljusgrön,Açık yeşil,Jasnozielony,Verde chiaro
DunkelRot,Dark Red,Dunkelrot,Rouge foncé, Rojo oscuro,Mörkröd,Koyu kırmızı,Ciemnoczerwony,Rosso scuro
HellRot,Light Red,Hellrot,Rouge clair, Rojo claro,Ljusröd,Açık kırmızı,Jasnoczerwony,Rosso chiaro
Gelb,Yellow,Gelb,Jaune, Amarillo,Gul,Sarı,Żółty,Giallo
Orange,Orange,Orange,Orange, Naranja,Orange,Turuncu,Orange,Arancione
Blaue,Blue,Blau,Bleus, Azul,Blå,Mavi,Niebieski,Blu
Lila,Purple,Lila,violet, Púrpura,Lila,Mor,Fioletowy,Viola
Truhe,Chest,Truhe,Coffre,Pecho,Bröstkorg,Göğüs,Klatka piersiowa,Petto
Chest,Chest,Truhe,Coffre,Pecho,Bröstkorg,Göğüs,Klatka piersiowa,Petto
Jelly,Jelly,Jelly,Jelly,Jelly,Gelé,Jöle,Jelly,Gelatina
DunkelGrüneFrucht,Melon,Melone,Melon,Melón,Melon,Kavun,Melon,Melone
HellGrüneFrucht,Apple,Apfel,Pomme,Manzana,Apple,Elma,Jabłko,Mela
DunkelRoteFrucht,Strawberry,Erdbeere,Fraise,Fresa,Jordgubbar,Çilekli,Truskawka,Fragola
HellRoteFrucht,Onion,Zwiebel,Oignon,Cebolla,Lök,Soğan,Cebula,Cipolla
GelbeFrucht,lemon,Zitrone,Citron,Limón,Citron,Limon,Cytryna,Limone
OrangeFrucht,Pumpkin,Kürbis,Courge,Calabaza,Pumpa,Balkabağı,Dynia,Zucca
BlaueFrucht,Plum,Pflaume,Prune,Ciruela,Plommon,Erik,Śliwka,Prugna
LilaFrucht,Grape,Traube,Raisin,Uva,Druva,Üzüm,Winogrono,Uva
AlleFrüchte,AllFruits,Alle Früchte,Tous les fruits,Todas las frutas,Alla frukter,Tüm meyveler,Wszystkie owoce,Tutti i frutti
not_applicable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
variation,Variation	,Variation,Variation,Variación,Variation,Varyasyon,Wariant,Variazione
allow_similar,Allow similar,Ähnliches erlauben,Permettre des,Permitir similares,Tillåt liknande,Benzerlerine izin ver,Pozwolić na podobne,Consentite simili
Collect,Collect,Sammeln,Collecter,Recoger,Samla in,Toplamak,Odbierz,Raccogliere
Avoid,Avoid,Meiden,Éviter,Evite,Undvik,Kaçının,Unikaj,Evitare
loop,Loop,Schleife,Boucle,Bucle,Slinga,Döngü,Pętla,Anello
randomize,Randomize,Zufällig,Randomiser,Aleatorizar,Randomisera,Rastgele,Randomizuj,Randomizzare
Destroy,Destroy,Zerstören,Détruire,Destruye,Förstör,Yok etmek,Zniszcz,Distruggere
goal_only,Goal Only,Nur Ziel,Goal Only,Sólo gol,Goal Only,Sadece Hedef,Goal Only,Solo obiettivo
Empty,Empty,Leeren,Vide,Vacío,Tomt,Boş,Puste,Vuoto
SelbeFarbe,Same Color,Selbe Farbe,Même couleur,Mismo color,Samma färg,Aynı renk,Ten sam kolor,Stesso colore
Unstuck,Unstuck,Unstuck,Décrochage,Despegada,"Loss","Cözülmüş","Odlepiony",Disincagliato
additive,Additive,Additiv,Additif,Aditivo,Tillsatsmedel,Katkı maddesi,Dodatek,Additivo
done,done,fertig,fait,hecho,gjort,bitti,zrobione,fatto
quarter_res,1/4 Resolution,1/4 Auflösung,1/4 Résolution,1/4 Resolución,1/4 Upplösning,1/4 Çözünürlük,1/4 Rezolucja,1/4 Risoluzione
half_res,2/4 Resolution,2/4 Auflösung,2/4 Résolution,2/4 Resolución,2/4 Upplösning,2/4 Çözünürlük,2/4 Rezolucja,2/4 Risoluzione
threequarter_res,3/4 Resolution,3/4 Auflösung,3/4 Résolution,3/4 Resolución,3/4 Upplösning,3/4 Çözünürlük,3/4 Rezolucja,3/4 Risoluzione
fullres,4/4 Resolution,4/4 Auflösung,4/4 Résolution,4/4 Resolución,4/4 Upplösning,4/4 Çözünürlük,4/4 Rezolucja,4/4 Risoluzione
1DAY,1 DAY,1 DAY,1 DAY,1 DAY,1 DAY,1 DAY,1 DAY,1 DAY
Active,Active,Aktiv,Actif,Activo,Aktiv,Aktif,Aktywny,Attivo
InActive,Inactive,Inaktiv,Inactif,Inactivo,Inaktiv,Aktif değil,Nieaktywny,Inattivo
OnlyLine,Line only,Nur Linie,Ligne uniquement,Sólo línea,Endast linje,Sadece hat,Tylko linia,Solo linea
OnlyTurnA,Only turn A,Nur Wende A,Virement A uniquement,Sólo giro A,Endast sväng A,Yalnızca A dönüşü,Tylko obrót A,Solo turno A
OnlyTurnB,Only turn B,Nur Wende B,Tournant B uniquement,Sólo giro B,Endast sväng B,Sadece B'yi çevirin,Tylko obrót B,Solo giro B
EmptyTile,EmptyTile,Leeres Feld,Carreau vide,Baldosa vacía,Tomma kakelplattor,Boş Karo,Pusta płytka,Piastrella vuota
Undestroyable,Undestroyable,Unzerstörbar,Indestructible,Destruible,Oförstörbar,Yıkılamaz,Niezniszczalny,Indistruttibile
BigBlock,Big Block,Großer Block,Gros Bloc,Gran bloque,Big Block,Büyük Blok,Duży blok,Blocco grande
Ingredient,Ingredient,Zutat,Ingrédient,Ingrediente,Ingrediens,Malzeme,Składnik,Ingrediente
None,None,Nichts,Aucun,Ninguno,Ingen,Hiçbiri,Brak,Nessuno
From,From,Von,De,Desde,Från,Kimden,Z,Da
To,To,Zu,A,A,Till,için,Do,A
Tiles,Tiles,Kacheln,Carreaux,Baldosas,Plattor,Fayanslar,Płytki,Piastrelle
Vectors,Vectors,Vektoren,Vecteurs,Vectores,Vektorer,Vektörler,Wektory,Vettori
Teleports,Teleports,Teleports,Téléports,Telepuertos,Teleporter,Teleportlar,Teleporty,Teletrasporti
top,Top,Oben,Haut,Arriba,Överst,Üst,Góra,In alto
bottom,Bottom,Unten,En bas,Abajo,Botten,Alt,Dół,In basso
left,Left,Links,Gauche,Izquierda,Vänster,Sol,Lewa,A sinistra
right,Right,Rechts,A droite,Derecha,Höger,Doğru,Prawo,A destra
LockedChest,Locked Chest,Verriegelte Truhe,Coffre fermé,Arcón cerrado,Låst kista,Kilitli Sandık,Zamykana skrzynia,Forziere chiuso
NoTeleport,No Teleport,Kein Teleporter,Pas de téléportation,Sin teletransporte,Ingen teleport,Işınlanma Yok,Brak teleportu,Nessun teletrasporto
TeleportFrom,Teleport From,Teleporter von,Téléportation de,Teletransporte desde,Teleport från,Işınlanma Noktası,Teleportuj się z,Teletrasporto da
TeleportTo,Teleport To,Teleporter nach,Téléportation vers,Teletransportarse a,Teleport till,Işınlanma,Teleportuj się do,Teletrasporto a
no_matches, No Matches shuffle, Mischen bei keinen Treffern,  Pas d'allumettes mélangées, No se barajan los partidos, Inga matchningar shuffle, Karışık Eşleşme Yok, Brak tasowania meczów, Nessuna partita mischiata
